start,end,type
1,2,ENTRY
1,3,EXIT
6,7,PARENT_OF
5,6,PARENT_OF
5,8,PARENT_OF
4,5,PARENT_OF
11,12,PARENT_OF
10,11,PARENT_OF
10,13,PARENT_OF
9,10,PARENT_OF
9,14,PARENT_OF
4,9,PARENT_OF
17,18,PARENT_OF
16,17,PARENT_OF
16,19,PARENT_OF
15,16,PARENT_OF
21,22,PARENT_OF
20,21,PARENT_OF
20,23,PARENT_OF
15,20,PARENT_OF
4,15,PARENT_OF
26,27,PARENT_OF
25,26,PARENT_OF
25,28,PARENT_OF
24,25,PARENT_OF
24,29,PARENT_OF
4,24,PARENT_OF
31,32,PARENT_OF
30,31,PARENT_OF
34,35,PARENT_OF
33,34,PARENT_OF
33,36,PARENT_OF
30,33,PARENT_OF
4,30,PARENT_OF
38,39,PARENT_OF
37,38,PARENT_OF
41,42,PARENT_OF
40,41,PARENT_OF
37,40,PARENT_OF
4,37,PARENT_OF
44,45,PARENT_OF
43,44,PARENT_OF
47,48,PARENT_OF
49,50,PARENT_OF
47,49,PARENT_OF
46,47,PARENT_OF
46,51,PARENT_OF
43,46,PARENT_OF
4,43,PARENT_OF
53,54,PARENT_OF
52,53,PARENT_OF
56,57,PARENT_OF
55,56,PARENT_OF
58,59,PARENT_OF
58,60,PARENT_OF
58,61,PARENT_OF
55,58,PARENT_OF
52,55,PARENT_OF
4,52,PARENT_OF
63,64,PARENT_OF
62,63,PARENT_OF
65,66,PARENT_OF
62,65,PARENT_OF
4,62,PARENT_OF
69,70,PARENT_OF
71,72,PARENT_OF
69,71,PARENT_OF
68,69,PARENT_OF
68,73,PARENT_OF
67,68,PARENT_OF
4,67,PARENT_OF
75,76,PARENT_OF
74,75,PARENT_OF
78,79,PARENT_OF
77,78,PARENT_OF
81,82,PARENT_OF
80,81,PARENT_OF
77,80,PARENT_OF
74,77,PARENT_OF
4,74,PARENT_OF
85,86,PARENT_OF
84,85,PARENT_OF
88,89,PARENT_OF
87,88,PARENT_OF
91,92,PARENT_OF
90,91,PARENT_OF
87,90,PARENT_OF
84,87,PARENT_OF
83,84,PARENT_OF
95,96,PARENT_OF
94,95,PARENT_OF
98,99,PARENT_OF
97,98,PARENT_OF
94,97,PARENT_OF
93,94,PARENT_OF
100,101,PARENT_OF
93,100,PARENT_OF
83,93,PARENT_OF
4,83,PARENT_OF
103,104,PARENT_OF
102,103,PARENT_OF
106,107,PARENT_OF
105,106,PARENT_OF
102,105,PARENT_OF
4,102,PARENT_OF
1,4,PARENT_OF
0,1,FILE_OF
